Factor number,Intercept,log_C_it_lag1,log_P_it,log_Pn_it,log_Y_it
0,0.27831060864434315,0.9694942393500715,-0.09015116510405027,0.024034715775728986,-0.030678819466480767
1,0.4667526579405603,0.9053356630734868,-0.22501289463639296,0.07508050184414117,0.009172776743298527
2,0.8873191348338878,0.5811694455199472,-0.3566665032575429,0.10924678791319309,0.28369021647381487
3,0.47194118241623073,0.909939232677516,-0.19550964824929906,0.06037349834895167,0.0029905567748755857
4,2.1189182836292275,0.36311660225092623,-0.35914018977842943,0.11533723210023084,0.2523784172295791
5,1.5626787016535673,0.33278269265544225,-0.34309990921155986,0.04735762574121338,0.3957777899777284
6,1.0752746280445535,0.427836443293657,-0.3185332289431244,0.04566373778398258,0.3958809596944093
7,1.998943381843219,0.33477264558010233,-0.3305213196790646,0.042048001637780885,0.29942962672396334
8,3.4906865629968706,0.027181312351686415,-0.3337125922267319,0.054163231597911476,0.31744196642728184
9,5.136381767650619,-0.15859490666422005,-0.29023584271277514,0.09122997463583715,0.16664542507783153
10,6.0050593239029695,-0.26539456531997985,-0.24660231374468822,0.07810598431854032,0.09400300780384896
