r,T,N,Mean beta1,SD beta1,SDE beta1,Mean beta2,SD beta2,SDE beta2,Mean mu,SD mu,SDE mu,Mean gamma,SD gamma,SDE gamma,Mean delta,SD delta,SDE delta
1,50,50,1.3128292514415665,0.3208116263655992,5.003152533549852,3.310846421580652,0.3199310019845098,5.15032234985497,1.144364806829328,4.274186679265332,50.18037916789832,2.070860496224237,0.1975265285064027,15.107806244897423,3.9783864670432942,0.1592265182264937,7.079158984603646
2,50,50,1.0248306024224734,0.0583605430474909,1.6989196290233337,3.050904791496932,0.0666258568587425,1.6821678126851407,4.885644356989846,0.2160140822089095,3.234432004384776,1.9915754217984816,0.0594720650732583,1.7684758378225425,4.025760177092648,0.0532981936710329,2.079483367669508
3,50,50,1.046524264514179,0.0724116675547494,1.6064958950433947,3.038776680010521,0.0654664139560463,1.618178213127455,4.86462530532569,0.2135943866723758,3.0567849122815,2.0069595530520488,0.0591796461609988,1.765303647882337,4.008922744813537,0.0475479258649148,1.894113094874853
4,50,50,1.038664894047154,0.0729361398134261,1.662887116329116,3.041365984545331,0.0734512234692518,1.673251988146827,4.852802598443398,0.297790405898249,3.3997738611664245,2.017086291228371,0.0437583889940884,1.695704458823338,3.992936406018466,0.0369591043673834,1.8913443686396767
5,50,50,0.9924894456481728,0.0643545611602047,1.5797387032703605,3.0267026081243937,0.0614910625899646,1.5778768509556975,4.977273112369849,0.1207326702110797,2.7630992046620824,2.0211471805599883,0.0342940838750632,1.6957103477486606,3.966369353991985,0.0694534431010957,1.8737730007617763
6,50,50,1.0207020305465313,0.0715226293769111,1.4934351825017846,3.039313403358393,0.0640969352589776,1.5132877045337385,4.884816871247059,0.2151533285883024,2.715882781825195,2.004594191583354,0.0428807167650105,1.592415289001147,4.00949766588518,0.0222248344071065,1.8216715732204904
7,50,50,0.9945410571637596,0.0335836313300087,1.5164779572293847,3.00737466872174,0.0492272024732092,1.5164811088756451,5.005771836530447,0.0870941693347611,2.4925945829763374,1.980331500249049,0.0558422004712218,1.554200788892356,4.005677666944368,0.0743390530443512,1.815208848800225
8,50,50,1.0274325257057328,0.0582605305401017,1.5215754524458291,3.0200187849056896,0.0525905226710933,1.5111231207004363,4.931612271481165,0.1340921547037638,2.699123244050213,1.9991880856828717,0.0665074238748178,1.5320521649663004,4.003304567582893,0.0756274203149751,1.8168761486740088
9,50,50,0.9949919672715752,0.0756357329212135,1.5614598772171508,3.0364090435904214,0.0725046256139771,1.5711559139668174,4.933270831764108,0.1600323835172103,2.8107896293216106,1.99547505928414,0.0644924464507483,1.624580216111833,3.970145631315693,0.0801700749407707,1.897277992495752
10,50,50,1.038032763645446,0.0568531929182059,1.4898929315210905,3.021230427694636,0.0720868919306914,1.5147742424659163,4.905039630089029,0.1915115978936666,2.736978820789157,2.0152241371252786,0.063820136811663,1.5532569465462285,4.043595948670708,0.0805588385646078,1.8749839938125383
